SchoolID,Region,Sector,ICSEA,SEIFAQuartile,Enrolments,ReadingScore,NumeracyScore,AttendanceRate,DisadvantageBand
S0001,Sydney Metro,Government,1180,4,128,572.9,552.8,95.6,Q4 Most advantaged
S0002,Riverina,Government,872,1,253,420.3,454.3,92.6,Q1 Most disadvantaged
S0003,Riverina,Catholic,913,2,643,429.5,439.5,94.1,Q2
S0004,Illawarra,Government,915,2,431,413.9,428.7,92.9,Q2
S0005,Illawarra,Government,1002,3,716,509.3,471.8,92.7,Q3
S0006,Sydney Metro,Government,1035,3,499,479.4,504.7,95.8,Q3
S0007,Riverina,Government,994,2,301,448.9,469.3,93.8,Q2
S0008,Murrumbidgee,Government,915,2,210,454.4,442.3,93.4,Q2
S0009,Western Sydney,Independent,1121,4,435,529.8,512.8,95.9,Q4 Most advantaged
S0010,Central Coast,Government,946,2,443,455.4,520.7,92.5,Q2
S0011,Murrumbidgee,Independent,993,2,531,483.3,474.4,93.5,Q2
S0012,Murrumbidgee,Independent,973,2,505,465.7,483.7,95.9,Q2
S0013,Far West,Government,1092,4,435,525.2,510.6,95.3,Q4 Most advantaged
S0014,Far West,Catholic,1062,3,231,492.6,497.3,94.3,Q3
S0015,New England,Government,1090,4,220,539.2,494.0,94.8,Q4 Most advantaged
S0016,Illawarra,Government,1002,3,683,526.1,469.5,92.5,Q3
S0017,Hunter,Government,980,2,130,423.3,457.7,96.3,Q2
S0018,Illawarra,Government,909,1,273,453.5,442.5,92.2,Q1 Most disadvantaged
S0019,New England,Government,972,2,448,472.9,488.9,91.9,Q2
S0020,New England,Government,979,2,60,458.3,440.0,93.9,Q2
S0021,Sydney Metro,Catholic,1017,3,125,487.2,493.1,95.7,Q3
S0022,Hunter,Government,957,2,494,484.4,463.5,90.8,Q2
S0023,New England,Catholic,1000,2,363,480.4,479.5,91.7,Q2
S0024,Hunter,Government,978,2,420,462.8,493.8,95.4,Q2
S0025,Murrumbidgee,Independent,902,1,388,455.8,458.2,91.4,Q1 Most disadvantaged
S0026,Far West,Government,898,1,426,435.7,460.5,89.7,Q1 Most disadvantaged
S0027,Mid North Coast,Government,927,2,60,453.4,424.7,91.9,Q2
S0028,Central Coast,Catholic,1029,3,329,501.8,500.9,96.2,Q3
S0029,Murrumbidgee,Government,996,2,421,469.6,490.5,95.1,Q2
S0030,New England,Government,946,2,421,469.4,458.4,94.7,Q2
S0031,Murrumbidgee,Government,1011,3,712,472.5,475.1,92.9,Q3
S0032,Illawarra,Government,1066,3,443,505.9,498.9,92.8,Q3
S0033,Mid North Coast,Catholic,1014,3,326,495.1,484.0,94.0,Q3
S0034,Sydney Metro,Catholic,1063,3,621,484.7,506.7,97.2,Q3
S0035,Riverina,Catholic,866,1,719,395.3,383.9,94.0,Q1 Most disadvantaged
S0036,Illawarra,Catholic,1000,2,519,477.5,486.2,94.1,Q2
S0037,Riverina,Government,1035,3,306,498.3,461.1,93.7,Q3
S0038,Hunter,Catholic,989,2,332,467.9,485.3,92.6,Q2
S0039,Far West,Catholic,1025,3,877,527.4,479.2,93.2,Q3
S0040,Riverina,Government,1010,3,681,470.2,482.4,92.1,Q3
S0041,Mid North Coast,Government,837,1,487,402.0,410.5,92.4,Q1 Most disadvantaged
S0042,Far West,Government,1031,3,403,517.2,509.7,90.5,Q3
S0043,Riverina,Government,915,2,369,448.2,461.6,94.9,Q2
S0044,Sydney Metro,Government,985,2,677,474.8,464.4,90.4,Q2
S0045,Murrumbidgee,Independent,970,2,441,437.4,473.6,95.8,Q2
S0046,Sydney Metro,Government,934,2,298,439.9,441.1,94.0,Q2
S0047,Western Sydney,Catholic,963,2,197,506.3,440.9,95.7,Q2
S0048,Mid North Coast,Government,1026,3,551,477.9,506.4,91.8,Q3
S0049,Sydney Metro,Government,1015,3,197,473.6,472.6,97.0,Q3
S0050,Riverina,Government,1001,3,579,500.8,477.1,94.3,Q3
S0051,Mid North Coast,Government,868,1,532,433.9,403.1,91.5,Q1 Most disadvantaged
S0052,Illawarra,Catholic,889,1,635,415.1,404.2,91.8,Q1 Most disadvantaged
S0053,Sydney Metro,Government,1022,3,423,487.4,488.9,96.2,Q3
S0054,Western Sydney,Catholic,1060,3,477,498.7,488.4,97.8,Q3
S0055,Illawarra,Government,1034,3,519,523.8,519.6,90.8,Q3
S0056,Illawarra,Government,978,2,454,450.4,458.5,93.1,Q2
S0057,Riverina,Government,880,1,421,417.6,416.9,93.1,Q1 Most disadvantaged
S0058,Western Sydney,Government,862,1,474,425.4,435.5,92.7,Q1 Most disadvantaged
S0059,Murrumbidgee,Catholic,1118,4,775,538.0,527.6,94.2,Q4 Most advantaged
S0060,Illawarra,Government,958,2,531,484.0,472.0,91.1,Q2
S0061,Mid North Coast,Government,1041,3,732,540.8,496.2,94.7,Q3
S0062,Western Sydney,Catholic,1066,3,166,500.5,490.5,91.9,Q3
S0063,Riverina,Government,1091,4,668,519.7,533.8,94.8,Q4 Most advantaged
S0064,Central Coast,Government,962,2,277,458.9,478.7,96.5,Q2
S0065,Far West,Government,1028,3,362,484.1,491.5,94.2,Q3
S0066,Sydney Metro,Government,1050,3,398,492.6,530.5,94.9,Q3
S0067,New England,Government,1141,4,682,578.4,529.4,95.8,Q4 Most advantaged
S0068,Mid North Coast,Government,973,2,101,494.8,455.2,96.8,Q2
S0069,Hunter,Catholic,884,1,533,411.2,435.8,94.8,Q1 Most disadvantaged
S0070,Western Sydney,Catholic,1058,3,639,493.1,507.5,94.2,Q3
S0071,Western Sydney,Catholic,978,2,588,471.8,480.9,93.9,Q2
S0072,Mid North Coast,Government,863,1,165,380.2,469.0,93.0,Q1 Most disadvantaged
S0073,Murrumbidgee,Catholic,1050,3,395,500.3,521.8,93.8,Q3
S0074,Mid North Coast,Government,981,2,708,492.3,469.8,95.3,Q2
S0075,Far West,Government,1022,3,576,436.6,486.4,92.8,Q3
S0076,Hunter,Government,1007,3,693,494.5,492.4,94.6,Q3
S0077,Murrumbidgee,Independent,1022,3,247,519.1,470.1,96.3,Q3
S0078,Riverina,Government,1071,3,139,516.9,522.2,94.7,Q3
S0079,Western Sydney,Independent,947,2,293,475.1,445.7,92.9,Q2
S0080,Far West,Government,949,2,492,476.5,448.5,91.6,Q2
S0081,Hunter,Government,1053,3,672,471.8,490.6,92.4,Q3
S0082,Central Coast,Government,983,2,693,490.6,456.7,93.9,Q2
S0083,Central Coast,Government,1017,3,464,489.9,489.8,94.0,Q3
S0084,Far West,Government,1068,3,535,507.6,501.9,95.9,Q3
S0085,Central Coast,Catholic,1030,3,551,536.1,477.6,91.5,Q3
S0086,Hunter,Government,1054,3,709,520.2,486.9,96.0,Q3
S0087,Hunter,Government,1024,3,68,467.8,483.1,94.6,Q3
S0088,Riverina,Government,979,2,504,474.4,490.8,92.7,Q2
S0089,Illawarra,Government,1021,3,242,456.9,479.2,92.5,Q3
S0090,Illawarra,Government,1065,3,81,515.0,510.1,97.1,Q3
S0091,Murrumbidgee,Government,1083,3,763,506.1,548.4,93.4,Q3
S0092,Western Sydney,Government,938,2,811,473.5,469.4,93.3,Q2
S0093,Riverina,Government,1005,3,553,497.4,478.2,94.9,Q3
S0094,Western Sydney,Government,919,2,864,444.2,443.0,92.5,Q2
S0095,New England,Catholic,1102,4,619,530.3,544.6,95.6,Q4 Most advantaged
S0096,New England,Catholic,1038,3,609,485.7,482.6,95.7,Q3
S0097,Illawarra,Government,921,2,618,443.9,443.0,90.2,Q2
S0098,Central Coast,Government,1036,3,204,458.3,518.0,93.2,Q3
S0099,Riverina,Government,938,2,495,462.4,461.0,94.0,Q2
S0100,Central Coast,Government,1021,3,370,519.3,477.8,95.2,Q3
S0101,Sydney Metro,Government,1011,3,533,496.5,488.6,94.9,Q3
S0102,Central Coast,Independent,953,2,540,462.0,436.8,96.2,Q2
S0103,Illawarra,Government,982,2,494,480.3,476.8,95.1,Q2
S0104,Hunter,Government,1139,4,676,544.3,534.4,94.5,Q4 Most advantaged
S0105,Sydney Metro,Government,1112,4,335,538.1,474.1,94.1,Q4 Most advantaged
S0106,Riverina,Government,934,2,629,450.8,424.0,95.6,Q2
S0107,Mid North Coast,Catholic,1075,3,608,541.9,489.0,94.6,Q3
S0108,Central Coast,Catholic,1027,3,795,505.5,476.4,92.6,Q3
S0109,Riverina,Independent,1000,2,235,493.2,488.6,91.4,Q2
S0110,Sydney Metro,Catholic,980,2,399,467.4,466.4,92.2,Q2
S0111,Murrumbidgee,Government,852,1,327,415.0,427.8,90.2,Q1 Most disadvantaged
S0112,Murrumbidgee,Government,976,2,753,466.8,471.9,96.6,Q2
S0113,Sydney Metro,Independent,834,1,75,391.9,381.3,93.6,Q1 Most disadvantaged
S0114,Murrumbidgee,Government,1008,3,459,454.5,532.8,96.1,Q3
S0115,Illawarra,Government,930,2,236,478.3,467.8,93.5,Q2
S0116,Central Coast,Government,1022,3,546,475.4,476.9,93.4,Q3
S0117,Hunter,Government,907,1,818,458.0,440.2,92.3,Q1 Most disadvantaged
