Region,Year,ProgramStatus,ChildrenEnrolled,ParticipationRate,SpendPerChild,QualityRating,OutcomeOnTrackRate
Sydney Metro,2020,Pre-program,11472,0.7755,8288,0.9304,0.8558
Sydney Metro,2021,Pre-program,11578,0.7832,8538,0.9484,0.8875
Sydney Metro,2022,Active,11853,0.7976,8844,0.9254,0.9053
Sydney Metro,2023,Active,12033,0.8128,8963,0.9456,0.9066
Sydney Metro,2024,Active,12283,0.8454,8989,0.9312,0.9357
Sydney Metro,2025,Active,12628,0.8487,9431,0.9594,0.9182
Hunter,2020,Pre-program,11301,0.6986,7690,0.8933,0.8493
Hunter,2021,Pre-program,11566,0.697,7795,0.9013,0.8252
Hunter,2022,Active,11851,0.7147,8142,0.907,0.8611
Hunter,2023,Active,12074,0.7494,8136,0.9179,0.8901
Hunter,2024,Active,12233,0.7733,8397,0.9045,0.8894
Hunter,2025,Active,12361,0.7911,8769,0.9272,0.8874
Illawarra,2020,Pre-program,13092,0.7116,7861,0.9019,0.842
Illawarra,2021,Pre-program,13379,0.7235,7759,0.9051,0.8584
Illawarra,2022,Active,13511,0.7487,8175,0.9229,0.8787
Illawarra,2023,Active,13913,0.7664,8420,0.9002,0.8806
Illawarra,2024,Active,14297,0.7965,8421,0.9212,0.9069
Illawarra,2025,Active,14507,0.7944,8932,0.9159,0.8969
Central Coast,2020,Pre-program,9993,0.6869,7445,0.8892,0.8359
Central Coast,2021,Pre-program,10027,0.6934,7512,0.8877,0.8206
Central Coast,2022,Active,10320,0.7132,7770,0.909,0.8603
Central Coast,2023,Active,10479,0.7382,7991,0.8967,0.8616
Central Coast,2024,Active,10835,0.7576,8210,0.8958,0.8657
Central Coast,2025,Active,10965,0.7671,8486,0.8913,0.8804
Mid North Coast,2020,Pre-program,6591,0.6136,6851,0.8617,0.7968
Mid North Coast,2021,Pre-program,6677,0.6351,7337,0.8902,0.7923
Mid North Coast,2022,Active,6910,0.6444,7645,0.8802,0.8217
Mid North Coast,2023,Active,7003,0.6886,7665,0.8753,0.8387
Mid North Coast,2024,Active,7197,0.6871,7913,0.857,0.8338
Mid North Coast,2025,Active,7332,0.7024,8084,0.8608,0.8465
New England,2020,Pre-program,9988,0.5974,6678,0.8556,0.7763
New England,2021,Pre-program,10111,0.6097,6711,0.8302,0.778
New England,2022,Active,10222,0.605,7232,0.8728,0.8151
New England,2023,Active,10353,0.6442,7671,0.8581,0.8399
New England,2024,Active,10562,0.6778,7956,0.8651,0.8365
New England,2025,Active,10802,0.6725,8081,0.8727,0.8434
Riverina,2020,Pre-program,8551,0.6325,6900,0.8555,0.7992
Riverina,2021,Pre-program,8852,0.6507,7109,0.8842,0.8276
Riverina,2022,Active,9057,0.6721,7373,0.8768,0.8263
Riverina,2023,Active,9131,0.6954,7465,0.9042,0.846
Riverina,2024,Active,9473,0.7037,8000,0.8764,0.8352
Riverina,2025,Active,9666,0.7112,8198,0.8815,0.8475
Far West,2020,Pre-program,5092,0.5411,6645,0.8096,0.7378
Far West,2021,Pre-program,5198,0.5683,6963,0.8289,0.7589
Far West,2022,Active,5352,0.5671,6574,0.8319,0.7849
Far West,2023,Active,5444,0.5824,7365,0.8245,0.7711
Far West,2024,Active,5578,0.6184,7388,0.8343,0.7914
Far West,2025,Active,5701,0.6378,7455,0.8341,0.7931
